,model,animal,accuracy
411,top_model_weights_no_3d,elephant,0.79
412,top_model_weights_no_3d,elephant,0.775
413,top_model_weights_no_3d,elephant,0.785
414,top_model_weights_no_3d,elephant,0.79
415,top_model_weights_no_3d,elephant,0.735
416,top_model_weights_no_3d,elephant,0.8
417,top_model_weights_no_3d,elephant,0.765
418,top_model_weights_no_3d,elephant,0.755
419,top_model_weights_no_3d,elephant,0.77
420,top_model_weights_no_3d,elephant,0.835
421,top_model_weights_no_3d,elephant,0.79
422,top_model_weights_no_3d,elephant,0.76
423,top_model_weights_no_3d,elephant,0.815
424,top_model_weights_no_3d,elephant,0.82
425,top_model_weights_no_3d,elephant,0.775
426,top_model_weights_no_3d,elephant,0.825
427,top_model_weights_no_3d,elephant,0.825
428,top_model_weights_no_3d,elephant,0.82
429,top_model_weights_no_3d,elephant,0.78
430,top_model_weights_no_3d,elephant,0.785
431,top_model_weights_no_3d,elephant,0.77
432,top_model_weights_no_3d,elephant,0.765
433,top_model_weights_no_3d,elephant,0.78
434,top_model_weights_no_3d,elephant,0.77
435,top_model_weights_no_3d,elephant,0.83
436,top_model_weights_no_3d,elephant,0.86
437,top_model_weights_no_3d,elephant,0.83
438,top_model_weights_no_3d,elephant,0.825
439,top_model_weights_no_3d,elephant,0.815
440,top_model_weights_no_3d,elephant,0.785
441,top_model_weights_no_3d,elephant,0.83
442,top_model_weights_no_3d,elephant,0.8
443,top_model_weights_no_3d,elephant,0.78
444,top_model_weights_no_3d,elephant,0.8
445,top_model_weights_no_3d,elephant,0.755
446,top_model_weights_no_3d,elephant,0.775
447,top_model_weights_no_3d,elephant,0.81
448,top_model_weights_no_3d,elephant,0.735
449,top_model_weights_no_3d,elephant,0.78
450,top_model_weights_no_3d,elephant,0.82
451,top_model_weights_no_3d,elephant,0.84
452,top_model_weights_no_3d,elephant,0.765
453,top_model_weights_no_3d,elephant,0.79
454,top_model_weights_no_3d,elephant,0.785
455,top_model_weights_no_3d,elephant,0.765
456,top_model_weights_no_3d,elephant,0.795
457,top_model_weights_no_3d,elephant,0.765
458,top_model_weights_no_3d,elephant,0.815
459,top_model_weights_no_3d,elephant,0.82
460,top_model_weights_no_3d,elephant,0.805
461,top_model_weights_no_3d,elephant,0.735
462,top_model_weights_no_3d,elephant,0.79
463,top_model_weights_no_3d,elephant,0.785
464,top_model_weights_no_3d,elephant,0.815
465,top_model_weights_no_3d,elephant,0.79
466,top_model_weights_no_3d,elephant,0.82
467,top_model_weights_no_3d,elephant,0.775
468,top_model_weights_no_3d,elephant,0.83
469,top_model_weights_no_3d,elephant,0.795
470,top_model_weights_no_3d,elephant,0.83
471,top_model_weights_no_3d,elephant,0.81
472,top_model_weights_no_3d,elephant,0.82
473,top_model_weights_no_3d,elephant,0.79
474,top_model_weights_no_3d,elephant,0.84
475,top_model_weights_no_3d,elephant,0.805
476,top_model_weights_no_3d,elephant,0.76
477,top_model_weights_no_3d,elephant,0.84
478,top_model_weights_no_3d,elephant,0.83
479,top_model_weights_no_3d,elephant,0.81
480,top_model_weights_no_3d,elephant,0.755
481,top_model_weights_no_3d,elephant,0.805
482,top_model_weights_no_3d,elephant,0.82
483,top_model_weights_no_3d,elephant,0.775
484,top_model_weights_no_3d,elephant,0.815
485,top_model_weights_no_3d,elephant,0.815
486,top_model_weights_no_3d,elephant,0.79
487,top_model_weights_no_3d,elephant,0.77
488,top_model_weights_no_3d,elephant,0.725
489,top_model_weights_no_3d,elephant,0.84
490,top_model_weights_no_3d,elephant,0.8
491,top_model_weights_no_3d,elephant,0.805
492,top_model_weights_no_3d,elephant,0.795
493,top_model_weights_no_3d,elephant,0.775
494,top_model_weights_no_3d,elephant,0.79
495,top_model_weights_no_3d,elephant,0.825
496,top_model_weights_no_3d,elephant,0.78
497,top_model_weights_no_3d,elephant,0.805
498,top_model_weights_no_3d,elephant,0.81
499,top_model_weights_no_3d,elephant,0.785
