,model,animal,accuracy
209,top_model_weights_no_3d,horse,0.735
210,top_model_weights_no_3d,horse,0.69
211,top_model_weights_no_3d,horse,0.705
212,top_model_weights_no_3d,horse,0.63
213,top_model_weights_no_3d,horse,0.715
214,top_model_weights_no_3d,horse,0.745
215,top_model_weights_no_3d,horse,0.66
216,top_model_weights_no_3d,horse,0.725
217,top_model_weights_no_3d,horse,0.69
218,top_model_weights_no_3d,horse,0.67
219,top_model_weights_no_3d,horse,0.72
220,top_model_weights_no_3d,horse,0.685
221,top_model_weights_no_3d,horse,0.72
222,top_model_weights_no_3d,horse,0.72
223,top_model_weights_no_3d,horse,0.645
224,top_model_weights_no_3d,horse,0.695
225,top_model_weights_no_3d,horse,0.7
226,top_model_weights_no_3d,horse,0.67
227,top_model_weights_no_3d,horse,0.715
228,top_model_weights_no_3d,horse,0.715
229,top_model_weights_no_3d,horse,0.745
230,top_model_weights_no_3d,horse,0.72
231,top_model_weights_no_3d,horse,0.685
232,top_model_weights_no_3d,horse,0.715
233,top_model_weights_no_3d,horse,0.67
234,top_model_weights_no_3d,horse,0.705
235,top_model_weights_no_3d,horse,0.72
236,top_model_weights_no_3d,horse,0.74
237,top_model_weights_no_3d,horse,0.74
238,top_model_weights_no_3d,horse,0.725
239,top_model_weights_no_3d,horse,0.755
240,top_model_weights_no_3d,horse,0.715
241,top_model_weights_no_3d,horse,0.695
242,top_model_weights_no_3d,horse,0.69
243,top_model_weights_no_3d,horse,0.735
244,top_model_weights_no_3d,horse,0.76
245,top_model_weights_no_3d,horse,0.7
246,top_model_weights_no_3d,horse,0.665
247,top_model_weights_no_3d,horse,0.71
248,top_model_weights_no_3d,horse,0.705
249,top_model_weights_no_3d,horse,0.68
250,top_model_weights_no_3d,horse,0.725
251,top_model_weights_no_3d,horse,0.72
252,top_model_weights_no_3d,horse,0.73
253,top_model_weights_no_3d,horse,0.72
254,top_model_weights_no_3d,horse,0.72
255,top_model_weights_no_3d,horse,0.71
256,top_model_weights_no_3d,horse,0.655
257,top_model_weights_no_3d,horse,0.7
258,top_model_weights_no_3d,horse,0.69
259,top_model_weights_no_3d,horse,0.675
260,top_model_weights_no_3d,horse,0.735
261,top_model_weights_no_3d,horse,0.72
262,top_model_weights_no_3d,horse,0.74
263,top_model_weights_no_3d,horse,0.695
264,top_model_weights_no_3d,horse,0.68
265,top_model_weights_no_3d,horse,0.725
266,top_model_weights_no_3d,horse,0.71
267,top_model_weights_no_3d,horse,0.765
268,top_model_weights_no_3d,horse,0.74
269,top_model_weights_no_3d,horse,0.73
270,top_model_weights_no_3d,horse,0.705
271,top_model_weights_no_3d,horse,0.715
272,top_model_weights_no_3d,horse,0.695
273,top_model_weights_no_3d,horse,0.72
274,top_model_weights_no_3d,horse,0.705
275,top_model_weights_no_3d,horse,0.695
276,top_model_weights_no_3d,horse,0.71
277,top_model_weights_no_3d,horse,0.75
278,top_model_weights_no_3d,horse,0.72
279,top_model_weights_no_3d,horse,0.715
280,top_model_weights_no_3d,horse,0.675
281,top_model_weights_no_3d,horse,0.74
282,top_model_weights_no_3d,horse,0.635
283,top_model_weights_no_3d,horse,0.7
284,top_model_weights_no_3d,horse,0.74
285,top_model_weights_no_3d,horse,0.655
286,top_model_weights_no_3d,horse,0.705
287,top_model_weights_no_3d,horse,0.72
288,top_model_weights_no_3d,horse,0.7
289,top_model_weights_no_3d,horse,0.66
290,top_model_weights_no_3d,horse,0.725
291,top_model_weights_no_3d,horse,0.705
292,top_model_weights_no_3d,horse,0.695
293,top_model_weights_no_3d,horse,0.68
294,top_model_weights_no_3d,horse,0.72
295,top_model_weights_no_3d,horse,0.715
296,top_model_weights_no_3d,horse,0.73
297,top_model_weights_no_3d,horse,0.705
298,top_model_weights_no_3d,horse,0.705
299,top_model_weights_no_3d,horse,0.75
300,top_model_weights_no_3d,horse,0.715
301,top_model_weights_no_3d,horse,0.71
302,top_model_weights_no_3d,horse,0.71
303,top_model_weights_no_3d,horse,0.67
304,top_model_weights_no_3d,horse,0.705
305,top_model_weights_no_3d,horse,0.745
306,top_model_weights_no_3d,horse,0.7
307,top_model_weights_no_3d,horse,0.72
308,top_model_weights_no_3d,horse,0.71
309,top_model_weights_no_3d,horse,0.665
310,top_model_weights_no_3d,horse,0.69
311,top_model_weights_no_3d,horse,0.7
312,top_model_weights_no_3d,horse,0.715
313,top_model_weights_no_3d,horse,0.775
314,top_model_weights_no_3d,horse,0.74
315,top_model_weights_no_3d,horse,0.745
316,top_model_weights_no_3d,horse,0.71
317,top_model_weights_no_3d,horse,0.71
318,top_model_weights_no_3d,horse,0.74
319,top_model_weights_no_3d,horse,0.69
320,top_model_weights_no_3d,horse,0.735
321,top_model_weights_no_3d,horse,0.71
322,top_model_weights_no_3d,horse,0.695
323,top_model_weights_no_3d,horse,0.705
324,top_model_weights_no_3d,horse,0.705
325,top_model_weights_no_3d,horse,0.71
326,top_model_weights_no_3d,horse,0.705
327,top_model_weights_no_3d,horse,0.695
328,top_model_weights_no_3d,horse,0.725
329,top_model_weights_no_3d,horse,0.665
330,top_model_weights_no_3d,horse,0.695
331,top_model_weights_no_3d,horse,0.74
332,top_model_weights_no_3d,horse,0.63
333,top_model_weights_no_3d,horse,0.715
334,top_model_weights_no_3d,horse,0.7
335,top_model_weights_no_3d,horse,0.76
336,top_model_weights_no_3d,horse,0.73
337,top_model_weights_no_3d,horse,0.695
338,top_model_weights_no_3d,horse,0.725
339,top_model_weights_no_3d,horse,0.735
340,top_model_weights_no_3d,horse,0.72
341,top_model_weights_no_3d,horse,0.715
342,top_model_weights_no_3d,horse,0.625
343,top_model_weights_no_3d,horse,0.715
344,top_model_weights_no_3d,horse,0.68
345,top_model_weights_no_3d,horse,0.71
346,top_model_weights_no_3d,horse,0.685
347,top_model_weights_no_3d,horse,0.745
348,top_model_weights_no_3d,horse,0.72
349,top_model_weights_no_3d,horse,0.635
350,top_model_weights_no_3d,horse,0.645
351,top_model_weights_no_3d,horse,0.735
352,top_model_weights_no_3d,horse,0.715
353,top_model_weights_no_3d,horse,0.68
354,top_model_weights_no_3d,horse,0.74
355,top_model_weights_no_3d,horse,0.735
356,top_model_weights_no_3d,horse,0.705
357,top_model_weights_no_3d,horse,0.655
358,top_model_weights_no_3d,horse,0.665
359,top_model_weights_no_3d,horse,0.665
360,top_model_weights_no_3d,horse,0.715
361,top_model_weights_no_3d,horse,0.74
362,top_model_weights_no_3d,horse,0.735
363,top_model_weights_no_3d,horse,0.665
364,top_model_weights_no_3d,horse,0.725
365,top_model_weights_no_3d,horse,0.705
366,top_model_weights_no_3d,horse,0.685
367,top_model_weights_no_3d,horse,0.67
368,top_model_weights_no_3d,horse,0.67
369,top_model_weights_no_3d,horse,0.71
370,top_model_weights_no_3d,horse,0.665
371,top_model_weights_no_3d,horse,0.75
372,top_model_weights_no_3d,horse,0.65
373,top_model_weights_no_3d,horse,0.685
374,top_model_weights_no_3d,horse,0.745
375,top_model_weights_no_3d,horse,0.66
376,top_model_weights_no_3d,horse,0.71
377,top_model_weights_no_3d,horse,0.745
378,top_model_weights_no_3d,horse,0.695
379,top_model_weights_no_3d,horse,0.63
380,top_model_weights_no_3d,horse,0.725
381,top_model_weights_no_3d,horse,0.72
382,top_model_weights_no_3d,horse,0.715
383,top_model_weights_no_3d,horse,0.71
384,top_model_weights_no_3d,horse,0.705
385,top_model_weights_no_3d,horse,0.755
386,top_model_weights_no_3d,horse,0.725
387,top_model_weights_no_3d,horse,0.7
388,top_model_weights_no_3d,horse,0.67
389,top_model_weights_no_3d,horse,0.715
390,top_model_weights_no_3d,horse,0.74
391,top_model_weights_no_3d,horse,0.67
392,top_model_weights_no_3d,horse,0.715
393,top_model_weights_no_3d,horse,0.745
394,top_model_weights_no_3d,horse,0.63
395,top_model_weights_no_3d,horse,0.73
396,top_model_weights_no_3d,horse,0.705
397,top_model_weights_no_3d,horse,0.66
398,top_model_weights_no_3d,horse,0.695
399,top_model_weights_no_3d,horse,0.68
400,top_model_weights_no_3d,horse,0.71
401,top_model_weights_no_3d,horse,0.69
402,top_model_weights_no_3d,horse,0.735
403,top_model_weights_no_3d,horse,0.715
404,top_model_weights_no_3d,horse,0.765
405,top_model_weights_no_3d,horse,0.645
406,top_model_weights_no_3d,horse,0.7
407,top_model_weights_no_3d,horse,0.735
408,top_model_weights_no_3d,horse,0.735
409,top_model_weights_no_3d,horse,0.68
410,top_model_weights_no_3d,horse,0.72
411,top_model_weights_no_3d,horse,0.66
412,top_model_weights_no_3d,horse,0.735
413,top_model_weights_no_3d,horse,0.665
414,top_model_weights_no_3d,horse,0.715
415,top_model_weights_no_3d,horse,0.705
416,top_model_weights_no_3d,horse,0.745
417,top_model_weights_no_3d,horse,0.77
418,top_model_weights_no_3d,horse,0.69
419,top_model_weights_no_3d,horse,0.65
420,top_model_weights_no_3d,horse,0.675
421,top_model_weights_no_3d,horse,0.71
422,top_model_weights_no_3d,horse,0.695
423,top_model_weights_no_3d,horse,0.705
424,top_model_weights_no_3d,horse,0.72
425,top_model_weights_no_3d,horse,0.76
426,top_model_weights_no_3d,horse,0.74
427,top_model_weights_no_3d,horse,0.735
428,top_model_weights_no_3d,horse,0.715
429,top_model_weights_no_3d,horse,0.725
430,top_model_weights_no_3d,horse,0.735
431,top_model_weights_no_3d,horse,0.685
432,top_model_weights_no_3d,horse,0.71
433,top_model_weights_no_3d,horse,0.685
434,top_model_weights_no_3d,horse,0.665
435,top_model_weights_no_3d,horse,0.71
436,top_model_weights_no_3d,horse,0.735
437,top_model_weights_no_3d,horse,0.725
438,top_model_weights_no_3d,horse,0.72
439,top_model_weights_no_3d,horse,0.7
440,top_model_weights_no_3d,horse,0.715
441,top_model_weights_no_3d,horse,0.74
442,top_model_weights_no_3d,horse,0.675
443,top_model_weights_no_3d,horse,0.685
444,top_model_weights_no_3d,horse,0.675
445,top_model_weights_no_3d,horse,0.775
446,top_model_weights_no_3d,horse,0.715
447,top_model_weights_no_3d,horse,0.635
448,top_model_weights_no_3d,horse,0.68
449,top_model_weights_no_3d,horse,0.705
450,top_model_weights_no_3d,horse,0.675
451,top_model_weights_no_3d,horse,0.695
452,top_model_weights_no_3d,horse,0.735
453,top_model_weights_no_3d,horse,0.645
454,top_model_weights_no_3d,horse,0.705
455,top_model_weights_no_3d,horse,0.68
456,top_model_weights_no_3d,horse,0.715
457,top_model_weights_no_3d,horse,0.675
458,top_model_weights_no_3d,horse,0.665
459,top_model_weights_no_3d,horse,0.705
460,top_model_weights_no_3d,horse,0.735
461,top_model_weights_no_3d,horse,0.74
462,top_model_weights_no_3d,horse,0.67
463,top_model_weights_no_3d,horse,0.735
464,top_model_weights_no_3d,horse,0.72
465,top_model_weights_no_3d,horse,0.665
466,top_model_weights_no_3d,horse,0.69
467,top_model_weights_no_3d,horse,0.765
468,top_model_weights_no_3d,horse,0.67
469,top_model_weights_no_3d,horse,0.7
470,top_model_weights_no_3d,horse,0.67
471,top_model_weights_no_3d,horse,0.675
472,top_model_weights_no_3d,horse,0.73
473,top_model_weights_no_3d,horse,0.715
474,top_model_weights_no_3d,horse,0.665
475,top_model_weights_no_3d,horse,0.7
476,top_model_weights_no_3d,horse,0.69
477,top_model_weights_no_3d,horse,0.7
478,top_model_weights_no_3d,horse,0.69
479,top_model_weights_no_3d,horse,0.73
480,top_model_weights_no_3d,horse,0.74
481,top_model_weights_no_3d,horse,0.665
482,top_model_weights_no_3d,horse,0.775
483,top_model_weights_no_3d,horse,0.685
484,top_model_weights_no_3d,horse,0.71
485,top_model_weights_no_3d,horse,0.67
486,top_model_weights_no_3d,horse,0.74
487,top_model_weights_no_3d,horse,0.74
488,top_model_weights_no_3d,horse,0.755
489,top_model_weights_no_3d,horse,0.74
490,top_model_weights_no_3d,horse,0.745
491,top_model_weights_no_3d,horse,0.74
492,top_model_weights_no_3d,horse,0.685
493,top_model_weights_no_3d,horse,0.705
494,top_model_weights_no_3d,horse,0.685
495,top_model_weights_no_3d,horse,0.695
496,top_model_weights_no_3d,horse,0.685
497,top_model_weights_no_3d,horse,0.71
498,top_model_weights_no_3d,horse,0.675
499,top_model_weights_no_3d,horse,0.74
