,model,animal,accuracy
276,top_model_weights_with_3d,bear,0.65
277,top_model_weights_with_3d,bear,0.66
278,top_model_weights_with_3d,bear,0.61
279,top_model_weights_with_3d,bear,0.685
280,top_model_weights_with_3d,bear,0.64
281,top_model_weights_with_3d,bear,0.605
282,top_model_weights_with_3d,bear,0.655
283,top_model_weights_with_3d,bear,0.685
284,top_model_weights_with_3d,bear,0.66
285,top_model_weights_with_3d,bear,0.65
286,top_model_weights_with_3d,bear,0.605
287,top_model_weights_with_3d,bear,0.625
288,top_model_weights_with_3d,bear,0.66
289,top_model_weights_with_3d,bear,0.655
290,top_model_weights_with_3d,bear,0.66
291,top_model_weights_with_3d,bear,0.665
292,top_model_weights_with_3d,bear,0.675
293,top_model_weights_with_3d,bear,0.67
294,top_model_weights_with_3d,bear,0.645
295,top_model_weights_with_3d,bear,0.6
296,top_model_weights_with_3d,bear,0.675
297,top_model_weights_with_3d,bear,0.59
298,top_model_weights_with_3d,bear,0.645
299,top_model_weights_with_3d,bear,0.62
300,top_model_weights_with_3d,bear,0.63
301,top_model_weights_with_3d,bear,0.665
302,top_model_weights_with_3d,bear,0.6
303,top_model_weights_with_3d,bear,0.64
304,top_model_weights_with_3d,bear,0.64
305,top_model_weights_with_3d,bear,0.595
306,top_model_weights_with_3d,bear,0.7
307,top_model_weights_with_3d,bear,0.685
308,top_model_weights_with_3d,bear,0.61
309,top_model_weights_with_3d,bear,0.655
310,top_model_weights_with_3d,bear,0.71
311,top_model_weights_with_3d,bear,0.64
312,top_model_weights_with_3d,bear,0.605
313,top_model_weights_with_3d,bear,0.665
314,top_model_weights_with_3d,bear,0.645
315,top_model_weights_with_3d,bear,0.715
316,top_model_weights_with_3d,bear,0.695
317,top_model_weights_with_3d,bear,0.685
318,top_model_weights_with_3d,bear,0.695
319,top_model_weights_with_3d,bear,0.615
320,top_model_weights_with_3d,bear,0.665
321,top_model_weights_with_3d,bear,0.62
322,top_model_weights_with_3d,bear,0.655
323,top_model_weights_with_3d,bear,0.67
324,top_model_weights_with_3d,bear,0.66
325,top_model_weights_with_3d,bear,0.665
326,top_model_weights_with_3d,bear,0.67
327,top_model_weights_with_3d,bear,0.66
328,top_model_weights_with_3d,bear,0.67
329,top_model_weights_with_3d,bear,0.59
330,top_model_weights_with_3d,bear,0.6
331,top_model_weights_with_3d,bear,0.655
332,top_model_weights_with_3d,bear,0.655
333,top_model_weights_with_3d,bear,0.665
334,top_model_weights_with_3d,bear,0.68
335,top_model_weights_with_3d,bear,0.625
336,top_model_weights_with_3d,bear,0.645
337,top_model_weights_with_3d,bear,0.65
338,top_model_weights_with_3d,bear,0.63
339,top_model_weights_with_3d,bear,0.595
340,top_model_weights_with_3d,bear,0.685
341,top_model_weights_with_3d,bear,0.57
342,top_model_weights_with_3d,bear,0.625
343,top_model_weights_with_3d,bear,0.64
344,top_model_weights_with_3d,bear,0.62
345,top_model_weights_with_3d,bear,0.655
346,top_model_weights_with_3d,bear,0.695
347,top_model_weights_with_3d,bear,0.645
348,top_model_weights_with_3d,bear,0.62
349,top_model_weights_with_3d,bear,0.65
350,top_model_weights_with_3d,bear,0.615
351,top_model_weights_with_3d,bear,0.61
352,top_model_weights_with_3d,bear,0.66
353,top_model_weights_with_3d,bear,0.615
354,top_model_weights_with_3d,bear,0.68
355,top_model_weights_with_3d,bear,0.66
356,top_model_weights_with_3d,bear,0.67
357,top_model_weights_with_3d,bear,0.67
358,top_model_weights_with_3d,bear,0.63
359,top_model_weights_with_3d,bear,0.635
360,top_model_weights_with_3d,bear,0.65
361,top_model_weights_with_3d,bear,0.67
362,top_model_weights_with_3d,bear,0.67
363,top_model_weights_with_3d,bear,0.59
364,top_model_weights_with_3d,bear,0.655
365,top_model_weights_with_3d,bear,0.68
