,model,animal,accuracy
202,top_model_weights_no_3d,sheep,0.715
203,top_model_weights_no_3d,sheep,0.65
204,top_model_weights_no_3d,sheep,0.68
205,top_model_weights_no_3d,sheep,0.64
206,top_model_weights_no_3d,sheep,0.69
207,top_model_weights_no_3d,sheep,0.715
208,top_model_weights_no_3d,sheep,0.665
209,top_model_weights_no_3d,sheep,0.71
210,top_model_weights_no_3d,sheep,0.695
211,top_model_weights_no_3d,sheep,0.665
212,top_model_weights_no_3d,sheep,0.665
213,top_model_weights_no_3d,sheep,0.67
214,top_model_weights_no_3d,sheep,0.705
215,top_model_weights_no_3d,sheep,0.725
216,top_model_weights_no_3d,sheep,0.69
217,top_model_weights_no_3d,sheep,0.73
218,top_model_weights_no_3d,sheep,0.66
219,top_model_weights_no_3d,sheep,0.69
220,top_model_weights_no_3d,sheep,0.615
221,top_model_weights_no_3d,sheep,0.695
222,top_model_weights_no_3d,sheep,0.695
223,top_model_weights_no_3d,sheep,0.625
224,top_model_weights_no_3d,sheep,0.665
225,top_model_weights_no_3d,sheep,0.65
226,top_model_weights_no_3d,sheep,0.62
227,top_model_weights_no_3d,sheep,0.66
228,top_model_weights_no_3d,sheep,0.74
229,top_model_weights_no_3d,sheep,0.685
230,top_model_weights_no_3d,sheep,0.685
231,top_model_weights_no_3d,sheep,0.685
232,top_model_weights_no_3d,sheep,0.7
233,top_model_weights_no_3d,sheep,0.68
234,top_model_weights_no_3d,sheep,0.675
235,top_model_weights_no_3d,sheep,0.665
236,top_model_weights_no_3d,sheep,0.67
237,top_model_weights_no_3d,sheep,0.67
238,top_model_weights_no_3d,sheep,0.605
239,top_model_weights_no_3d,sheep,0.71
240,top_model_weights_no_3d,sheep,0.74
241,top_model_weights_no_3d,sheep,0.69
242,top_model_weights_no_3d,sheep,0.755
243,top_model_weights_no_3d,sheep,0.64
244,top_model_weights_no_3d,sheep,0.73
245,top_model_weights_no_3d,sheep,0.67
246,top_model_weights_no_3d,sheep,0.685
247,top_model_weights_no_3d,sheep,0.725
248,top_model_weights_no_3d,sheep,0.655
249,top_model_weights_no_3d,sheep,0.67
250,top_model_weights_no_3d,sheep,0.66
251,top_model_weights_no_3d,sheep,0.65
252,top_model_weights_no_3d,sheep,0.635
253,top_model_weights_no_3d,sheep,0.69
254,top_model_weights_no_3d,sheep,0.705
255,top_model_weights_no_3d,sheep,0.67
256,top_model_weights_no_3d,sheep,0.655
257,top_model_weights_no_3d,sheep,0.68
258,top_model_weights_no_3d,sheep,0.675
259,top_model_weights_no_3d,sheep,0.69
260,top_model_weights_no_3d,sheep,0.65
261,top_model_weights_no_3d,sheep,0.69
262,top_model_weights_no_3d,sheep,0.715
263,top_model_weights_no_3d,sheep,0.7
264,top_model_weights_no_3d,sheep,0.665
265,top_model_weights_no_3d,sheep,0.72
266,top_model_weights_no_3d,sheep,0.67
267,top_model_weights_no_3d,sheep,0.68
268,top_model_weights_no_3d,sheep,0.72
269,top_model_weights_no_3d,sheep,0.64
270,top_model_weights_no_3d,sheep,0.67
271,top_model_weights_no_3d,sheep,0.68
272,top_model_weights_no_3d,sheep,0.685
273,top_model_weights_no_3d,sheep,0.675
274,top_model_weights_no_3d,sheep,0.715
275,top_model_weights_no_3d,sheep,0.65
276,top_model_weights_no_3d,sheep,0.605
277,top_model_weights_no_3d,sheep,0.7
278,top_model_weights_no_3d,sheep,0.695
279,top_model_weights_no_3d,sheep,0.665
280,top_model_weights_no_3d,sheep,0.63
281,top_model_weights_no_3d,sheep,0.685
282,top_model_weights_no_3d,sheep,0.72
283,top_model_weights_no_3d,sheep,0.71
284,top_model_weights_no_3d,sheep,0.695
285,top_model_weights_no_3d,sheep,0.665
286,top_model_weights_no_3d,sheep,0.675
287,top_model_weights_no_3d,sheep,0.645
288,top_model_weights_no_3d,sheep,0.67
289,top_model_weights_no_3d,sheep,0.69
290,top_model_weights_no_3d,sheep,0.675
291,top_model_weights_no_3d,sheep,0.685
292,top_model_weights_no_3d,sheep,0.695
293,top_model_weights_no_3d,sheep,0.68
294,top_model_weights_no_3d,sheep,0.635
295,top_model_weights_no_3d,sheep,0.73
296,top_model_weights_no_3d,sheep,0.665
297,top_model_weights_no_3d,sheep,0.685
298,top_model_weights_no_3d,sheep,0.66
299,top_model_weights_no_3d,sheep,0.67
300,top_model_weights_no_3d,sheep,0.67
301,top_model_weights_no_3d,sheep,0.715
302,top_model_weights_no_3d,sheep,0.685
303,top_model_weights_no_3d,sheep,0.665
304,top_model_weights_no_3d,sheep,0.61
305,top_model_weights_no_3d,sheep,0.675
306,top_model_weights_no_3d,sheep,0.67
307,top_model_weights_no_3d,sheep,0.68
308,top_model_weights_no_3d,sheep,0.645
309,top_model_weights_no_3d,sheep,0.675
310,top_model_weights_no_3d,sheep,0.65
311,top_model_weights_no_3d,sheep,0.7
312,top_model_weights_no_3d,sheep,0.72
313,top_model_weights_no_3d,sheep,0.615
314,top_model_weights_no_3d,sheep,0.735
315,top_model_weights_no_3d,sheep,0.635
316,top_model_weights_no_3d,sheep,0.69
317,top_model_weights_no_3d,sheep,0.675
318,top_model_weights_no_3d,sheep,0.685
319,top_model_weights_no_3d,sheep,0.71
320,top_model_weights_no_3d,sheep,0.695
321,top_model_weights_no_3d,sheep,0.69
322,top_model_weights_no_3d,sheep,0.695
323,top_model_weights_no_3d,sheep,0.675
324,top_model_weights_no_3d,sheep,0.62
325,top_model_weights_no_3d,sheep,0.735
326,top_model_weights_no_3d,sheep,0.725
327,top_model_weights_no_3d,sheep,0.67
328,top_model_weights_no_3d,sheep,0.75
329,top_model_weights_no_3d,sheep,0.69
330,top_model_weights_no_3d,sheep,0.665
331,top_model_weights_no_3d,sheep,0.695
332,top_model_weights_no_3d,sheep,0.69
333,top_model_weights_no_3d,sheep,0.71
334,top_model_weights_no_3d,sheep,0.655
335,top_model_weights_no_3d,sheep,0.725
336,top_model_weights_no_3d,sheep,0.76
337,top_model_weights_no_3d,sheep,0.655
338,top_model_weights_no_3d,sheep,0.68
339,top_model_weights_no_3d,sheep,0.69
340,top_model_weights_no_3d,sheep,0.655
341,top_model_weights_no_3d,sheep,0.665
342,top_model_weights_no_3d,sheep,0.65
343,top_model_weights_no_3d,sheep,0.66
344,top_model_weights_no_3d,sheep,0.665
345,top_model_weights_no_3d,sheep,0.675
346,top_model_weights_no_3d,sheep,0.685
347,top_model_weights_no_3d,sheep,0.69
348,top_model_weights_no_3d,sheep,0.67
349,top_model_weights_no_3d,sheep,0.745
350,top_model_weights_no_3d,sheep,0.675
351,top_model_weights_no_3d,sheep,0.71
352,top_model_weights_no_3d,sheep,0.69
353,top_model_weights_no_3d,sheep,0.66
354,top_model_weights_no_3d,sheep,0.645
355,top_model_weights_no_3d,sheep,0.71
356,top_model_weights_no_3d,sheep,0.625
357,top_model_weights_no_3d,sheep,0.74
358,top_model_weights_no_3d,sheep,0.695
359,top_model_weights_no_3d,sheep,0.745
360,top_model_weights_no_3d,sheep,0.64
361,top_model_weights_no_3d,sheep,0.65
362,top_model_weights_no_3d,sheep,0.71
363,top_model_weights_no_3d,sheep,0.715
364,top_model_weights_no_3d,sheep,0.7
365,top_model_weights_no_3d,sheep,0.68
366,top_model_weights_no_3d,sheep,0.705
367,top_model_weights_no_3d,sheep,0.715
368,top_model_weights_no_3d,sheep,0.71
369,top_model_weights_no_3d,sheep,0.66
370,top_model_weights_no_3d,sheep,0.675
371,top_model_weights_no_3d,sheep,0.695
372,top_model_weights_no_3d,sheep,0.685
373,top_model_weights_no_3d,sheep,0.65
374,top_model_weights_no_3d,sheep,0.65
375,top_model_weights_no_3d,sheep,0.72
376,top_model_weights_no_3d,sheep,0.64
