,model,animal,accuracy
226,top_model_weights_no_3d,dog,0.89
227,top_model_weights_no_3d,dog,0.86
228,top_model_weights_no_3d,dog,0.885
229,top_model_weights_no_3d,dog,0.885
230,top_model_weights_no_3d,dog,0.87
231,top_model_weights_no_3d,dog,0.905
232,top_model_weights_no_3d,dog,0.925
233,top_model_weights_no_3d,dog,0.91
234,top_model_weights_no_3d,dog,0.88
235,top_model_weights_no_3d,dog,0.875
236,top_model_weights_no_3d,dog,0.865
237,top_model_weights_no_3d,dog,0.91
238,top_model_weights_no_3d,dog,0.78
239,top_model_weights_no_3d,dog,0.88
240,top_model_weights_no_3d,dog,0.855
241,top_model_weights_no_3d,dog,0.92
242,top_model_weights_no_3d,dog,0.89
243,top_model_weights_no_3d,dog,0.865
244,top_model_weights_no_3d,dog,0.885
245,top_model_weights_no_3d,dog,0.865
246,top_model_weights_no_3d,dog,0.91
247,top_model_weights_no_3d,dog,0.865
248,top_model_weights_no_3d,dog,0.83
249,top_model_weights_no_3d,dog,0.89
250,top_model_weights_no_3d,dog,0.865
251,top_model_weights_no_3d,dog,0.86
252,top_model_weights_no_3d,dog,0.82
253,top_model_weights_no_3d,dog,0.86
254,top_model_weights_no_3d,dog,0.89
255,top_model_weights_no_3d,dog,0.86
256,top_model_weights_no_3d,dog,0.885
257,top_model_weights_no_3d,dog,0.85
258,top_model_weights_no_3d,dog,0.86
259,top_model_weights_no_3d,dog,0.83
260,top_model_weights_no_3d,dog,0.845
261,top_model_weights_no_3d,dog,0.855
262,top_model_weights_no_3d,dog,0.845
263,top_model_weights_no_3d,dog,0.885
264,top_model_weights_no_3d,dog,0.855
265,top_model_weights_no_3d,dog,0.885
266,top_model_weights_no_3d,dog,0.9
267,top_model_weights_no_3d,dog,0.88
268,top_model_weights_no_3d,dog,0.87
269,top_model_weights_no_3d,dog,0.855
270,top_model_weights_no_3d,dog,0.83
271,top_model_weights_no_3d,dog,0.85
272,top_model_weights_no_3d,dog,0.87
273,top_model_weights_no_3d,dog,0.865
274,top_model_weights_no_3d,dog,0.89
275,top_model_weights_no_3d,dog,0.91
276,top_model_weights_no_3d,dog,0.895
277,top_model_weights_no_3d,dog,0.84
278,top_model_weights_no_3d,dog,0.885
279,top_model_weights_no_3d,dog,0.895
280,top_model_weights_no_3d,dog,0.855
281,top_model_weights_no_3d,dog,0.87
282,top_model_weights_no_3d,dog,0.89
283,top_model_weights_no_3d,dog,0.85
284,top_model_weights_no_3d,dog,0.89
285,top_model_weights_no_3d,dog,0.835
286,top_model_weights_no_3d,dog,0.865
287,top_model_weights_no_3d,dog,0.86
288,top_model_weights_no_3d,dog,0.915
289,top_model_weights_no_3d,dog,0.815
290,top_model_weights_no_3d,dog,0.87
291,top_model_weights_no_3d,dog,0.905
292,top_model_weights_no_3d,dog,0.825
293,top_model_weights_no_3d,dog,0.865
294,top_model_weights_no_3d,dog,0.91
295,top_model_weights_no_3d,dog,0.845
296,top_model_weights_no_3d,dog,0.85
297,top_model_weights_no_3d,dog,0.845
298,top_model_weights_no_3d,dog,0.88
299,top_model_weights_no_3d,dog,0.86
300,top_model_weights_no_3d,dog,0.885
301,top_model_weights_no_3d,dog,0.86
302,top_model_weights_no_3d,dog,0.86
303,top_model_weights_no_3d,dog,0.85
304,top_model_weights_no_3d,dog,0.87
305,top_model_weights_no_3d,dog,0.86
306,top_model_weights_no_3d,dog,0.895
307,top_model_weights_no_3d,dog,0.865
308,top_model_weights_no_3d,dog,0.855
309,top_model_weights_no_3d,dog,0.855
310,top_model_weights_no_3d,dog,0.885
311,top_model_weights_no_3d,dog,0.86
312,top_model_weights_no_3d,dog,0.865
313,top_model_weights_no_3d,dog,0.915
314,top_model_weights_no_3d,dog,0.9
315,top_model_weights_no_3d,dog,0.91
316,top_model_weights_no_3d,dog,0.865
317,top_model_weights_no_3d,dog,0.87
318,top_model_weights_no_3d,dog,0.87
319,top_model_weights_no_3d,dog,0.875
320,top_model_weights_no_3d,dog,0.84
321,top_model_weights_no_3d,dog,0.875
322,top_model_weights_no_3d,dog,0.85
323,top_model_weights_no_3d,dog,0.88
324,top_model_weights_no_3d,dog,0.9
325,top_model_weights_no_3d,dog,0.86
326,top_model_weights_no_3d,dog,0.84
327,top_model_weights_no_3d,dog,0.865
328,top_model_weights_no_3d,dog,0.915
329,top_model_weights_no_3d,dog,0.88
330,top_model_weights_no_3d,dog,0.865
331,top_model_weights_no_3d,dog,0.865
332,top_model_weights_no_3d,dog,0.91
333,top_model_weights_no_3d,dog,0.87
334,top_model_weights_no_3d,dog,0.88
335,top_model_weights_no_3d,dog,0.85
336,top_model_weights_no_3d,dog,0.86
337,top_model_weights_no_3d,dog,0.85
338,top_model_weights_no_3d,dog,0.88
339,top_model_weights_no_3d,dog,0.87
340,top_model_weights_no_3d,dog,0.895
341,top_model_weights_no_3d,dog,0.92
342,top_model_weights_no_3d,dog,0.88
343,top_model_weights_no_3d,dog,0.86
344,top_model_weights_no_3d,dog,0.92
345,top_model_weights_no_3d,dog,0.875
346,top_model_weights_no_3d,dog,0.86
347,top_model_weights_no_3d,dog,0.905
348,top_model_weights_no_3d,dog,0.86
349,top_model_weights_no_3d,dog,0.865
350,top_model_weights_no_3d,dog,0.855
351,top_model_weights_no_3d,dog,0.89
352,top_model_weights_no_3d,dog,0.89
353,top_model_weights_no_3d,dog,0.865
354,top_model_weights_no_3d,dog,0.855
355,top_model_weights_no_3d,dog,0.895
356,top_model_weights_no_3d,dog,0.88
357,top_model_weights_no_3d,dog,0.8
358,top_model_weights_no_3d,dog,0.845
359,top_model_weights_no_3d,dog,0.87
360,top_model_weights_no_3d,dog,0.885
361,top_model_weights_no_3d,dog,0.93
362,top_model_weights_no_3d,dog,0.845
363,top_model_weights_no_3d,dog,0.89
364,top_model_weights_no_3d,dog,0.915
365,top_model_weights_no_3d,dog,0.92
366,top_model_weights_no_3d,dog,0.855
367,top_model_weights_no_3d,dog,0.89
368,top_model_weights_no_3d,dog,0.875
369,top_model_weights_no_3d,dog,0.865
370,top_model_weights_no_3d,dog,0.85
371,top_model_weights_no_3d,dog,0.82
372,top_model_weights_no_3d,dog,0.865
373,top_model_weights_no_3d,dog,0.86
374,top_model_weights_no_3d,dog,0.855
375,top_model_weights_no_3d,dog,0.86
376,top_model_weights_no_3d,dog,0.89
377,top_model_weights_no_3d,dog,0.915
378,top_model_weights_no_3d,dog,0.915
379,top_model_weights_no_3d,dog,0.875
380,top_model_weights_no_3d,dog,0.9
381,top_model_weights_no_3d,dog,0.865
382,top_model_weights_no_3d,dog,0.865
383,top_model_weights_no_3d,dog,0.835
384,top_model_weights_no_3d,dog,0.865
385,top_model_weights_no_3d,dog,0.87
386,top_model_weights_no_3d,dog,0.855
387,top_model_weights_no_3d,dog,0.865
388,top_model_weights_no_3d,dog,0.88
389,top_model_weights_no_3d,dog,0.84
390,top_model_weights_no_3d,dog,0.885
391,top_model_weights_no_3d,dog,0.865
392,top_model_weights_no_3d,dog,0.86
393,top_model_weights_no_3d,dog,0.855
394,top_model_weights_no_3d,dog,0.875
395,top_model_weights_no_3d,dog,0.845
396,top_model_weights_no_3d,dog,0.895
397,top_model_weights_no_3d,dog,0.87
398,top_model_weights_no_3d,dog,0.86
399,top_model_weights_no_3d,dog,0.86
400,top_model_weights_no_3d,dog,0.855
401,top_model_weights_no_3d,dog,0.875
402,top_model_weights_no_3d,dog,0.855
403,top_model_weights_no_3d,dog,0.88
404,top_model_weights_no_3d,dog,0.855
405,top_model_weights_no_3d,dog,0.9
406,top_model_weights_no_3d,dog,0.845
407,top_model_weights_no_3d,dog,0.9
408,top_model_weights_no_3d,dog,0.89
409,top_model_weights_no_3d,dog,0.87
410,top_model_weights_no_3d,dog,0.835
411,top_model_weights_no_3d,dog,0.895
412,top_model_weights_no_3d,dog,0.86
413,top_model_weights_no_3d,dog,0.835
414,top_model_weights_no_3d,dog,0.875
415,top_model_weights_no_3d,dog,0.895
416,top_model_weights_no_3d,dog,0.905
417,top_model_weights_no_3d,dog,0.86
418,top_model_weights_no_3d,dog,0.855
419,top_model_weights_no_3d,dog,0.87
420,top_model_weights_no_3d,dog,0.855
421,top_model_weights_no_3d,dog,0.87
422,top_model_weights_no_3d,dog,0.83
423,top_model_weights_no_3d,dog,0.83
424,top_model_weights_no_3d,dog,0.88
425,top_model_weights_no_3d,dog,0.88
426,top_model_weights_no_3d,dog,0.88
427,top_model_weights_no_3d,dog,0.87
428,top_model_weights_no_3d,dog,0.885
429,top_model_weights_no_3d,dog,0.89
430,top_model_weights_no_3d,dog,0.87
431,top_model_weights_no_3d,dog,0.89
432,top_model_weights_no_3d,dog,0.85
433,top_model_weights_no_3d,dog,0.905
434,top_model_weights_no_3d,dog,0.89
435,top_model_weights_no_3d,dog,0.83
436,top_model_weights_no_3d,dog,0.84
437,top_model_weights_no_3d,dog,0.87
438,top_model_weights_no_3d,dog,0.9
439,top_model_weights_no_3d,dog,0.855
440,top_model_weights_no_3d,dog,0.815
441,top_model_weights_no_3d,dog,0.885
442,top_model_weights_no_3d,dog,0.885
443,top_model_weights_no_3d,dog,0.87
444,top_model_weights_no_3d,dog,0.87
445,top_model_weights_no_3d,dog,0.85
446,top_model_weights_no_3d,dog,0.85
447,top_model_weights_no_3d,dog,0.89
448,top_model_weights_no_3d,dog,0.875
449,top_model_weights_no_3d,dog,0.865
450,top_model_weights_no_3d,dog,0.865
451,top_model_weights_no_3d,dog,0.845
452,top_model_weights_no_3d,dog,0.86
453,top_model_weights_no_3d,dog,0.83
454,top_model_weights_no_3d,dog,0.895
455,top_model_weights_no_3d,dog,0.835
456,top_model_weights_no_3d,dog,0.855
457,top_model_weights_no_3d,dog,0.915
458,top_model_weights_no_3d,dog,0.865
459,top_model_weights_no_3d,dog,0.86
460,top_model_weights_no_3d,dog,0.9
461,top_model_weights_no_3d,dog,0.835
462,top_model_weights_no_3d,dog,0.845
463,top_model_weights_no_3d,dog,0.865
464,top_model_weights_no_3d,dog,0.875
465,top_model_weights_no_3d,dog,0.9
466,top_model_weights_no_3d,dog,0.855
467,top_model_weights_no_3d,dog,0.895
468,top_model_weights_no_3d,dog,0.89
469,top_model_weights_no_3d,dog,0.885
470,top_model_weights_no_3d,dog,0.885
471,top_model_weights_no_3d,dog,0.905
472,top_model_weights_no_3d,dog,0.845
473,top_model_weights_no_3d,dog,0.855
474,top_model_weights_no_3d,dog,0.85
475,top_model_weights_no_3d,dog,0.92
476,top_model_weights_no_3d,dog,0.865
477,top_model_weights_no_3d,dog,0.87
478,top_model_weights_no_3d,dog,0.88
479,top_model_weights_no_3d,dog,0.85
480,top_model_weights_no_3d,dog,0.87
481,top_model_weights_no_3d,dog,0.845
482,top_model_weights_no_3d,dog,0.845
483,top_model_weights_no_3d,dog,0.85
484,top_model_weights_no_3d,dog,0.82
485,top_model_weights_no_3d,dog,0.88
486,top_model_weights_no_3d,dog,0.86
487,top_model_weights_no_3d,dog,0.865
488,top_model_weights_no_3d,dog,0.865
489,top_model_weights_no_3d,dog,0.905
490,top_model_weights_no_3d,dog,0.875
491,top_model_weights_no_3d,dog,0.89
492,top_model_weights_no_3d,dog,0.91
493,top_model_weights_no_3d,dog,0.885
494,top_model_weights_no_3d,dog,0.895
495,top_model_weights_no_3d,dog,0.865
496,top_model_weights_no_3d,dog,0.9
497,top_model_weights_no_3d,dog,0.865
498,top_model_weights_no_3d,dog,0.815
499,top_model_weights_no_3d,dog,0.87
